Order_ID,Customer_Name,Industry,Product,City_Province,Order_Date,Shipping_Date,Units_Sold,Price_per_Unit,Status
ORD20231,Walmart,Retail,,"Halifax, Nova Scotia",2023-05-25,2023-05-26,147,334.15,Processing
ORD20232,Nike,Hospitality,banner print,"Edmonton, Alberta",14/02/2023,2023-02-17,5,$90.82,Processing
ORD20233,Cineplex,Retail,LED signage,"Edmonton, Alberta",2023-07-20,2023-07-23,131,$365.54,Shipped
ORD20234,Bell,Sports,LED signage,"Montreal, Quebec",16/07/2023,20-Jul-2023,161,$227.34,Delivered
ORD20235,Bell,Hospitality,Banner Print,"Toronto, Ontario",2023-11-16,2023-11-21,70,375.36,Processing
ORD20236,Nike,Events,Acrylic Panel,"Quebec City, Quebec",2023-04-21,2023-04-27,157,93.11,Processing
ORD20237,FIFA,Hospitality,LED signage,"Calgary, Alberta",06/10/2023,2023-10-10,147,388.09,Delivered
ORD20238,Walmart,Retail,LED signage," Winnipeg, Manitoba ",2023-02-14,2023-02-16,179,212.9,Delivered
ORD20239,Bell,Sports,LED signage,"Toronto, Ontario",2023-02-08,10-Feb-2023,189,190.5,Processing
ORD202310,Cineplex,Hospitality,Acrylic Panel,"Vancouver, British Columbia",2023-11-01,04-Nov-2023,116,$265.83,Processing
ORD202311,FIFA,Sports,banner print,"Mississauga, Ontario",11/02/2023,2023-02-17,21,$335.09,Delivered
ORD202312,Cineplex,Construction,,"Edmonton, Alberta",2023-08-27,29-Aug-2023,60,$399.8,Processing
ORD202313,Cineplex,Sports,Acrylic Panel,"Mississauga, Ontario",2023-04-14,20-Apr-2023,14,399.36,Shipped
ORD202314,Adidas,Construction,Lightbox Frame,"Quebec City, Quebec",2023-05-26,2023-05-31,173,232.82,Delivered
ORD202315,Lululemon,Sports,LED Signage," Winnipeg, Manitoba ",2023-07-23,2023-07-25,29,$130.31,Processing
ORD202316,FIFA,Retail,,"Edmonton, Alberta",26/12/2023,2024-01-01,66,$240.63,Shipped
ORD202317,Walmart,Construction,Lightbox Frame,"Quebec City, Quebec",28/06/2023,29-Jun-2023,97,$27.27,Processing
ORD202318,Lululemon,Sports,LED Signage,"Vancouver, British Columbia",29/08/2023,02-Sep-2023,40,68.14,Processing
ORD202319,Nike,Retail,Acrylic Panel,"Edmonton, Alberta",15/05/2023,16-May-2023,152,$253.78,Processing
ORD202320,Nike,Events,Acrylic Panel,"Surrey, British Columbia",2023-06-09,12-Jun-2023,190,182.73,Delivered
ORD202321,Cineplex,Hospitality,Lightbox Frame,"Surrey, British Columbia",2023-11-05,11-Nov-2023,23,$20.57,Delivered
